2016-04-06 10:21:31,750 [Worker-14] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: ru.javabegin:training:1.0.0-BUILD-SNAPSHOT @ D:\Workspace\Eclipse\SpringWebflow_5\pom.xml.
2016-04-06 10:21:32,109 [Worker-39] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: ru.javabegin:training:1.0.0-BUILD-SNAPSHOT @ D:\Workspace\Eclipse\SpringWebflow_5\pom.xml.
2016-04-06 10:21:33,789 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-06 10:21:33,797 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2016-04-06 10:21:33,805 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-06 10:21:33,810 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-04-06 10:21:34,884 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: ru.javabegin:training:1.0.0-BUILD-SNAPSHOT @ D:\Workspace\Eclipse\SpringWebflow_5\pom.xml.
2016-04-06 10:21:35,205 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: ru.javabegin:training:1.0.0-BUILD-SNAPSHOT @ D:\Workspace\Eclipse\SpringWebflow_5\Workspace\Eclipse\SpringWebflow_5\target\m2e-wtp\web-resources\META-INF\maven\ru.javabegin\training\pom.xml.
2016-04-06 10:21:48,261 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-06 10:21:48,271 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-06 10:21:48,273 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-06 10:21:48,280 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-06 10:22:32,729 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-06 10:22:32,776 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2016-04-06 10:22:32,795 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-06 10:22:32,800 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-04-06 10:24:52,941 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-06 10:24:53,046 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2016-04-06 10:24:53,053 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-06 10:24:53,057 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
